route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,5825,30376,14863.0,30429.0,70,8,4,30386,30439.0
8,0,14863,30429,5827.0,30476.0,70,8,4,30439,30486.0
8,0,5827,30476,5149.0,30510.0,70,8,4,30486,30520.0
8,0,5149,30510,5150.0,30528.0,70,8,4,30520,30538.0
8,0,5150,30528,17060.0,30557.0,70,8,4,30538,30567.0
8,0,17060,30557,17170.0,30579.0,70,8,4,30567,30589.0
8,0,17170,30579,17158.0,30619.0,70,8,4,30589,30629.0
8,0,17158,30619,5155.0,30651.0,70,8,4,30629,30661.0
8,0,5155,30651,16127.0,30685.0,70,8,4,30661,30695.0
8,0,16127,30685,5829.0,30710.0,70,8,4,30695,30720.0
8,0,5829,30710,5830.0,30742.0,70,8,4,30720,30752.0
8,0,5830,30742,5831.0,30783.0,70,8,4,30752,30793.0
8,0,5831,30783,15023.0,30848.0,70,8,4,30793,30858.0
8,0,15023,30848,5833.0,30889.0,70,8,4,30858,30899.0
8,0,5833,30889,17950.0,30930.0,70,8,4,30899,30940.0
8,0,17950,30930,5835.0,30955.0,70,8,4,30940,30965.0
8,0,5835,30955,5836.0,30990.0,70,8,4,30965,31000.0
8,0,5836,30990,5837.0,31005.0,70,8,4,31000,31015.0
8,0,5837,31005,5838.0,31027.0,70,8,4,31015,31037.0
8,0,5838,31027,5839.0,31062.0,70,8,4,31037,31072.0
8,0,5839,31062,5840.0,31096.0,70,8,4,31072,31106.0
8,0,5840,31096,5841.0,31128.0,70,8,4,31106,31138.0
8,0,5841,31128,5842.0,31156.0,70,8,4,31138,31166.0
8,0,5842,31156,17373.0,31197.0,70,8,4,31166,31207.0
8,0,17373,31197,15873.0,31219.0,70,8,4,31207,31229.0
